"ID","Member_Country","Measure","Table","Value","Harvest_Sector","GDP_Dimension","Year","Unit"
66,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",4434400000,"Offshore Locally Based","Gross Value of Production","2021","XPF"
67,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",43800000,"Freshwater","Gross Value of Production","2021","XPF"
68,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",5846728000,"Aquaculture","Gross Value of Production","2021","XPF"
69,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",0.55,"Coastal commercial","VAR","2021","Proportion"
70,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",0.7,"Coastal subsistence","VAR","2021","Proportion"
71,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",0.2,"Offshore Locally Based","VAR","2021","Proportion"
72,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",0.85,"Freshwater","VAR","2021","Proportion"
73,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",0.45,"Aquaculture","VAR","2021","Proportion"
74,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",1208955000,"Coastal commercial","Value added","2021","XPF"
75,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",709989382,"Coastal subsistence","Value added","2021","XPF"
76,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",886880000,"Offshore Locally Based","Value added","2021","XPF"
77,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",37230000,"Freshwater","Value added","2021","XPF"
78,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",2631027600,"Aquaculture","Value added","2021","XPF"
79,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",31000000,"Coastal commercial","Gross Value of Production","2021","A$"
80,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",30000000,"Coastal subsistence","Gross Value of Production","2021","A$"
81,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",131789,"Offshore Locally Based","Gross Value of Production","2021","A$"
82,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",0,"Freshwater","Gross Value of Production","2021","A$"
83,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",10000,"Aquaculture","Gross Value of Production","2021","A$"
84,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",0.65,"Coastal commercial","VAR","2021","Proportion"
85,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",0.9,"Coastal subsistence","VAR","2021","Proportion"
86,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",0.2,"Offshore Locally Based","VAR","2021","Proportion"
87,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",0.72,"Aquaculture","VAR","2021","Proportion"
88,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",20150000,"Coastal commercial","Value added","2021","A$"
89,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",27000000,"Coastal subsistence","Value added","2021","A$"
90,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",26358,"Offshore Locally Based","Value added","2021","A$"
91,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",0,"Freshwater","Value added","2021","A$"
92,"Kiribati","Fishing contribution to GDP - VAR Method","9-6",7200,"Aquaculture","Value added","2021","A$"
93,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",3400000,"Coastal commercial","Gross Value of Production","2021","US$"
94,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",6000000,"Coastal subsistence","Gross Value of Production","2021","US$"
95,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0,"Offshore Locally Based","Gross Value of Production","2021","US$"
96,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0,"Freshwater","Gross Value of Production","2021","US$"
97,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",85500,"Aquaculture","Gross Value of Production","2021","US$"
98,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0.75,"Coastal commercial","VAR","2021","Proportion"
99,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0.85,"Coastal subsistence","VAR","2021","Proportion"
100,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0,"Offshore Locally Based","VAR","2021","Proportion"
101,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0,"Freshwater","VAR","2021","Proportion"
102,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0.55,"Aquaculture","VAR","2021","Proportion"
103,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",2550000,"Coastal commercial","Value added","2021","US$"
104,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",5100000,"Coastal subsistence","Value added","2021","US$"
105,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0,"Offshore Locally Based","Value added","2021","US$"
106,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",0,"Freshwater","Value added","2021","US$"
107,"Marshall_Islands","Fishing contribution to GDP - VAR Method","10-7",47025,"Aquaculture","Value added","2021","US$"
108,"Nauru","Fishing contribution to GDP - VAR Method","11-8",1540000,"Coastal commercial","Gross Value of Production","2021","A$"
109,"Nauru","Fishing contribution to GDP - VAR Method","11-8",770000,"Coastal subsistence","Gross Value of Production","2021","A$"
110,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0,"Offshore Locally Based","Gross Value of Production","2021","A$"
111,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0,"Freshwater","Gross Value of Production","2021","A$"
112,"Nauru","Fishing contribution to GDP - VAR Method","11-8",1000,"Aquaculture","Gross Value of Production","2021","A$"
113,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0.65,"Coastal commercial","VAR","2021","Proportion"
114,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0.8,"Coastal subsistence","VAR","2021","Proportion"
115,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0,"Offshore Locally Based","VAR","2021","Proportion"
116,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0,"Freshwater","VAR","2021","Proportion"
117,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0.85,"Aquaculture","VAR","2021","Proportion"
118,"Nauru","Fishing contribution to GDP - VAR Method","11-8",1001000,"Coastal commercial","Value added","2021","A$"
119,"Nauru","Fishing contribution to GDP - VAR Method","11-8",616000,"Coastal subsistence","Value added","2021","A$"
120,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0,"Offshore Locally Based","Value added","2021","A$"
121,"Nauru","Fishing contribution to GDP - VAR Method","11-8",0,"Freshwater","Value added","2021","A$"
122,"Nauru","Fishing contribution to GDP - VAR Method","11-8",850,"Aquaculture","Value added","2021","A$"
123,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",524280000,"Coastal commercial","Gross Value of Production","2021","XPF"
124,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",2568972000,"Coastal subsistence","Gross Value of Production","2021","XPF"
125,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",1846000000,"Offshore Locally Based","Gross Value of Production","2021","XPF"
126,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",5397000,"Freshwater","Gross Value of Production","2021","XPF"
127,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",2088000000,"Aquaculture","Gross Value of Production","2021","XPF"
128,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",0.65,"Coastal commercial","VAR","2021","Proportion"
129,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",0.8,"Coastal subsistence","VAR","2021","Proportion"
130,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",0.2,"Offshore Locally Based","VAR","2021","Proportion"
131,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",0.9,"Freshwater","VAR","2021","Proportion"
132,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",0.4,"Aquaculture","VAR","2021","Proportion"
133,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",340782000,"Coastal commercial","Value added","2021","XPF"
134,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",2055177600,"Coastal subsistence","Value added","2021","XPF"
135,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",369200000,"Offshore Locally Based","Value added","2021","XPF"
136,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",4857300,"Freshwater","Value added","2021","XPF"
137,"New_Caledonia","Fishing contribution to GDP - VAR Method","23-6",835200000,"Aquaculture","Value added","2021","XPF"
138,"Niue","Fishing contribution to GDP - VAR Method","12-4",135000,"Coastal commercial","Gross Value of Production","2021","NZ$"
139,"Niue","Fishing contribution to GDP - VAR Method","12-4",1680000,"Coastal subsistence","Gross Value of Production","2021","NZ$"
140,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Offshore Locally Based","Gross Value of Production","2021","NZ$"
141,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Freshwater","Gross Value of Production","2021","NZ$"
142,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Aquaculture","Gross Value of Production","2021","NZ$"
143,"Niue","Fishing contribution to GDP - VAR Method","12-4",0.65,"Coastal commercial","VAR","2021","Proportion"
144,"Niue","Fishing contribution to GDP - VAR Method","12-4",0.85,"Coastal subsistence","VAR","2021","Proportion"
145,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Offshore Locally Based","VAR","2021","Proportion"
146,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Freshwater","VAR","2021","Proportion"
147,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Aquaculture","VAR","2021","Proportion"
148,"Niue","Fishing contribution to GDP - VAR Method","12-4",87750,"Coastal commercial","Value added","2021","NZ$"
149,"Niue","Fishing contribution to GDP - VAR Method","12-4",1428000,"Coastal subsistence","Value added","2021","NZ$"
150,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Offshore Locally Based","Value added","2021","NZ$"
151,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Freshwater","Value added","2021","NZ$"
152,"Niue","Fishing contribution to GDP - VAR Method","12-4",0,"Aquaculture","Value added","2021","NZ$"
153,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",1175803,"Coastal commercial",NA,"2021","US$"
154,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",915960,"Coastal subsistence",NA,"2021","US$"
155,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0,"Offshore Locally Based",NA,"2021","US$"
156,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0,"Freshwater",NA,"2021","US$"
157,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",16250,"Aquaculture",NA,"2021","US$"
158,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0.6,"Coastal commercial",NA,"2021","Proportion"
159,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0.8,"Coastal subsistence",NA,"2021","Proportion"
160,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0,"Offshore Locally Based",NA,"2021","Proportion"
161,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0,"Freshwater",NA,"2021","Proportion"
162,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0.5,"Aquaculture",NA,"2021","Proportion"
163,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",705482,"Coastal commercial",NA,"2021","US$"
164,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",732768,"Coastal subsistence",NA,"2021","US$"
165,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0,"Offshore Locally Based",NA,"2021","US$"
166,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",0,"Freshwater",NA,"2021","US$"
167,"Northern_Marianas_Islands","Fishing contribution to GDP - VAR Method","24-5",8125,"Aquaculture",NA,"2021","US$"
168,"Palau","Fishing contribution to GDP - VAR Method","13-8",5510000,"Coastal commercial","Gross Value of Production","2021","US$"
169,"Palau","Fishing contribution to GDP - VAR Method","13-8",5399800,"Coastal subsistence","Gross Value of Production","2021","US$"
170,"Palau","Fishing contribution to GDP - VAR Method","13-8",395250,"Offshore Locally Based","Gross Value of Production","2021","US$"
171,"Palau","Fishing contribution to GDP - VAR Method","13-8",10000,"Freshwater","Gross Value of Production","2021","US$"
172,"Palau","Fishing contribution to GDP - VAR Method","13-8",89000,"Aquaculture","Gross Value of Production","2021","US$"
173,"Palau","Fishing contribution to GDP - VAR Method","13-8",0.7,"Coastal commercial","VAR","2021","Proportion"
174,"Palau","Fishing contribution to GDP - VAR Method","13-8",0.8,"Coastal subsistence","VAR","2021","Proportion"
175,"Palau","Fishing contribution to GDP - VAR Method","13-8",0.2,"Offshore Locally Based","VAR","2021","Proportion"
176,"Palau","Fishing contribution to GDP - VAR Method","13-8",0.95,"Freshwater","VAR","2021","Proportion"
177,"Palau","Fishing contribution to GDP - VAR Method","13-8",0.6,"Aquaculture","VAR","2021","Proportion"
178,"Palau","Fishing contribution to GDP - VAR Method","13-8",3857000,"Coastal commercial","Value added","2021","US$"
179,"Palau","Fishing contribution to GDP - VAR Method","13-8",4319840,"Coastal subsistence","Value added","2021","US$"
180,"Palau","Fishing contribution to GDP - VAR Method","13-8",79050,"Offshore Locally Based","Value added","2021","US$"
181,"Palau","Fishing contribution to GDP - VAR Method","13-8",9500,"Freshwater","Value added","2021","US$"
182,"Palau","Fishing contribution to GDP - VAR Method","13-8",53400,"Aquaculture","Value added","2021","US$"
183,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",66000000,"Coastal commercial","Gross Value of Production","2021","K"
184,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",280000000,"Coastal subsistence","Gross Value of Production","2021","K"
185,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",719000000,"Offshore Locally Based","Gross Value of Production","2021","K"
186,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",129000000,"Freshwater","Gross Value of Production","2021","K"
187,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",12000000,"Aquaculture","Gross Value of Production","2021","K"
188,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",0.65,"Coastal commercial","VAR","2021","Proportion"
189,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",0.9,"Coastal subsistence","VAR","2021","Proportion"
190,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",0.5,"Offshore Locally Based","VAR","2021","Proportion"
191,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",0.95,"Freshwater","VAR","2021","Proportion"
192,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",0.7,"Aquaculture","VAR","2021","Proportion"
193,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",42900000,"Coastal commercial","Value added","2021","K"
194,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",252000000,"Coastal subsistence","Value added","2021","K"
195,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",359500000,"Offshore Locally Based","Value added","2021","K"
196,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",122550000,"Freshwater","Value added","2021","K"
197,"Papua_New_Guinea","Fishing contribution to GDP - VAR Method","14-7",8400000,"Aquaculture","Value added","2021","K"
198,"Samoa","Fishing contribution to GDP - VAR Method","15-5",58000000,"Coastal commercial","Gross Value of Production","2021","ST$"
199,"Samoa","Fishing contribution to GDP - VAR Method","15-5",40000000,"Coastal subsistence","Gross Value of Production","2021","ST$"
200,"Samoa","Fishing contribution to GDP - VAR Method","15-5",73500,"Freshwater","Gross Value of Production","2021","ST$"
201,"Samoa","Fishing contribution to GDP - VAR Method","15-5",107500,"Aquaculture","Gross Value of Production","2021","ST$"
202,"Samoa","Fishing contribution to GDP - VAR Method","15-5",0.8,"Coastal commercial","VAR","2021","Proportion"
203,"Samoa","Fishing contribution to GDP - VAR Method","15-5",0.9,"Coastal subsistence","VAR","2021","Proportion"
204,"Samoa","Fishing contribution to GDP - VAR Method","15-5",0.39,"Offshore Locally Based","VAR","2021","Proportion"
205,"Samoa","Fishing contribution to GDP - VAR Method","15-5",0.9,"Freshwater","VAR","2021","Proportion"
206,"Samoa","Fishing contribution to GDP - VAR Method","15-5",0.74,"Aquaculture","VAR","2021","Proportion"
207,"Samoa","Fishing contribution to GDP - VAR Method","15-5",46400000,"Coastal commercial","Value added","2021","ST$"
208,"Samoa","Fishing contribution to GDP - VAR Method","15-5",36000000,"Coastal subsistence","Value added","2021","ST$"
209,"Samoa","Fishing contribution to GDP - VAR Method","15-5",2008500,"Offshore Locally Based","Value added","2021","ST$"
210,"Samoa","Fishing contribution to GDP - VAR Method","15-5",66150,"Freshwater","Value added","2021","ST$"
211,"Samoa","Fishing contribution to GDP - VAR Method","15-5",79550,"Aquaculture","Value added","2021","ST$"
212,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",80000000,"Coastal commercial","Value (SI$) (from Table 16-5)","2021","SI$"
213,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",325000000,"Coastal subsistence","Value (SI$) (from Table 16-5)","2021","SI$"
214,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",499818788,"Purse seine","Value (SI$) (from Table 16-5)","2021","SI$"
215,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",15354912,"Pole-and-line","Value (SI$) (from Table 16-5)","2021","SI$"
216,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",34000000,"Freshwater","Value (SI$) (from Table 16-5)","2021","SI$"
217,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",15750000,"Aquaculture","Value (SI$) (from Table 16-5)","2021","SI$"
218,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",0.75,"Coastal commercial","VAR","2021","Proportion"
219,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",0.9,"Coastal subsistence","VAR","2021","Proportion"
220,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",0.5,"Purse seine","VAR","2021","Proportion"
221,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",0.6,"Pole-and-line","VAR","2021","Proportion"
222,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",0.92,"Freshwater","VAR","2021","Proportion"
223,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",0.73,"Aquaculture","VAR","2021","Proportion"
224,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",60000000,"Coastal commercial","Value added","2021","SI$"
225,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",292500000,"Coastal subsistence","Value added","2021","SI$"
226,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",249909394,"Purse seine","Value added","2021","SI$"
227,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",9212947,"Pole-and-line","Value added","2021","SI$"
228,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",31280000,"Freshwater","Value added","2021","SI$"
229,"Solomon_Islands","Fishing contribution to GDP - VAR Method","16-9",11497500,"Aquaculture","Value added","2021","SI$"
230,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Coastal commercial","Gross Value of Production","2021","NZ$"
231,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",1050000,"Coastal subsistence","Gross Value of Production","2021","NZ$"
232,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Offshore Locally Based","Gross Value of Production","2021","NZ$"
233,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Freshwater","Gross Value of Production","2021","NZ$"
234,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Aquaculture","Gross Value of Production","2021","NZ$"
235,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Coastal commercial","VAR","2021","Proportion"
236,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0.8,"Coastal subsistence","VAR","2021","Proportion"
