"ID","Member_Country","Measure","Table","Value","Metric","Unit","PICT","Year"
119,"Summary_Tables","Volume of fishery production by PICT","29-7",675,"Coastal Subsistance","Tonnes","Wallis and Futuna","2014"
120,"Summary_Tables","Volume of fishery production by PICT","29-7",221,"Coastal Subsistance","Tonnes","Wallis and Futuna","2021"
121,"Summary_Tables","Volume of fishery production by PICT","29-7",140,"Coastal Subsistance","Tonnes","Niue","2007"
122,"Summary_Tables","Volume of fishery production by PICT","29-7",154,"Coastal Subsistance","Tonnes","Niue","2014"
123,"Summary_Tables","Volume of fishery production by PICT","29-7",160,"Coastal Subsistance","Tonnes","Niue","2021"
124,"Summary_Tables","Volume of fishery production by PICT","29-7",350,"Coastal Subsistance","Tonnes","Northern Mariana Is.","2007"
125,"Summary_Tables","Volume of fishery production by PICT","29-7",220,"Coastal Subsistance","Tonnes","Northern Mariana Is.","2014"
126,"Summary_Tables","Volume of fishery production by PICT","29-7",204,"Coastal Subsistance","Tonnes","Northern Mariana Is.","2021"
127,"Summary_Tables","Volume of fishery production by PICT","29-7",70,"Coastal Subsistance","Tonnes","Guam","2007"
128,"Summary_Tables","Volume of fishery production by PICT","29-7",42,"Coastal Subsistance","Tonnes","Guam","2014"
129,"Summary_Tables","Volume of fishery production by PICT","29-7",30,"Coastal Subsistance","Tonnes","Guam","2021"
130,"Summary_Tables","Volume of fishery production by PICT","29-7",7,"Coastal Subsistance","Tonnes","Pitcairn","2007"
131,"Summary_Tables","Volume of fishery production by PICT","29-7",6,"Coastal Subsistance","Tonnes","Pitcairn","2014"
132,"Summary_Tables","Volume of fishery production by PICT","29-7",6,"Coastal Subsistance","Tonnes","Pitcairn","2021"
133,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Kiribati","2007"
134,"Summary_Tables","Volume of fishery production by PICT","29-7",510,"Offshore Locally Based","Tonnes","Kiribati","2014"
135,"Summary_Tables","Volume of fishery production by PICT","29-7",2686,"Offshore Locally Based","Tonnes","Kiribati","2021"
136,"Summary_Tables","Volume of fishery production by PICT","29-7",256397,"Offshore Locally Based","Tonnes","PNG","2007"
137,"Summary_Tables","Volume of fishery production by PICT","29-7",216896,"Offshore Locally Based","Tonnes","PNG","2014"
138,"Summary_Tables","Volume of fishery production by PICT","29-7",170755,"Offshore Locally Based","Tonnes","PNG","2021"
139,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Nauru","2007"
140,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Nauru","2014"
141,"Summary_Tables","Volume of fishery production by PICT","29-7",111821,"Offshore Locally Based","Tonnes","Nauru","2021"
142,"Summary_Tables","Volume of fishery production by PICT","29-7",16222,"Offshore Locally Based","Tonnes","FSM","2007"
143,"Summary_Tables","Volume of fishery production by PICT","29-7",40838,"Offshore Locally Based","Tonnes","FSM","2014"
144,"Summary_Tables","Volume of fishery production by PICT","29-7",153578,"Offshore Locally Based","Tonnes","FSM","2021"
145,"Summary_Tables","Volume of fishery production by PICT","29-7",23619,"Offshore Locally Based","Tonnes","Solomon Islands","2007"
146,"Summary_Tables","Volume of fishery production by PICT","29-7",41523,"Offshore Locally Based","Tonnes","Solomon Islands","2014"
147,"Summary_Tables","Volume of fishery production by PICT","29-7",50597,"Offshore Locally Based","Tonnes","Solomon Islands","2021"
148,"Summary_Tables","Volume of fishery production by PICT","29-7",63569,"Offshore Locally Based","Tonnes","Marshall Islands","2007"
149,"Summary_Tables","Volume of fishery production by PICT","29-7",85918,"Offshore Locally Based","Tonnes","Marshall Islands","2014"
150,"Summary_Tables","Volume of fishery production by PICT","29-7",91167,"Offshore Locally Based","Tonnes","Marshall Islands","2021"
151,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Tuvalu","2007"
152,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Tuvalu","2014"
153,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Tuvalu","2021"
154,"Summary_Tables","Volume of fishery production by PICT","29-7",13744,"Offshore Locally Based","Tonnes","Fiji","2007"
155,"Summary_Tables","Volume of fishery production by PICT","29-7",17079,"Offshore Locally Based","Tonnes","Fiji","2014"
156,"Summary_Tables","Volume of fishery production by PICT","29-7",10828,"Offshore Locally Based","Tonnes","Fiji","2021"
157,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Tokelau","2007"
158,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Tokelau","2014"
159,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Tokelau","2021"
160,"Summary_Tables","Volume of fishery production by PICT","29-7",3939,"Offshore Locally Based","Tonnes","Cook Islands","2007"
161,"Summary_Tables","Volume of fishery production by PICT","29-7",194,"Offshore Locally Based","Tonnes","Cook Islands","2014"
162,"Summary_Tables","Volume of fishery production by PICT","29-7",100,"Offshore Locally Based","Tonnes","Cook Islands","2021"
163,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Vanuatu","2007"
164,"Summary_Tables","Volume of fishery production by PICT","29-7",568,"Offshore Locally Based","Tonnes","Vanuatu","2014"
165,"Summary_Tables","Volume of fishery production by PICT","29-7",1000,"Offshore Locally Based","Tonnes","Vanuatu","2021"
166,"Summary_Tables","Volume of fishery production by PICT","29-7",6308,"Offshore Locally Based","Tonnes","French Polynesia","2007"
167,"Summary_Tables","Volume of fishery production by PICT","29-7",5390,"Offshore Locally Based","Tonnes","French Polynesia","2014"
168,"Summary_Tables","Volume of fishery production by PICT","29-7",6405,"Offshore Locally Based","Tonnes","French Polynesia","2021"
169,"Summary_Tables","Volume of fishery production by PICT","29-7",3755,"Offshore Locally Based","Tonnes","Samoa","2007"
170,"Summary_Tables","Volume of fishery production by PICT","29-7",1254,"Offshore Locally Based","Tonnes","Samoa","2014"
171,"Summary_Tables","Volume of fishery production by PICT","29-7",1001,"Offshore Locally Based","Tonnes","Samoa","2021"
172,"Summary_Tables","Volume of fishery production by PICT","29-7",1119,"Offshore Locally Based","Tonnes","Tonga","2007"
173,"Summary_Tables","Volume of fishery production by PICT","29-7",1363,"Offshore Locally Based","Tonnes","Tonga","2014"
174,"Summary_Tables","Volume of fishery production by PICT","29-7",290,"Offshore Locally Based","Tonnes","Tonga","2021"
175,"Summary_Tables","Volume of fishery production by PICT","29-7",3030,"Offshore Locally Based","Tonnes","Palau","2007"
176,"Summary_Tables","Volume of fishery production by PICT","29-7",3987,"Offshore Locally Based","Tonnes","Palau","2014"
177,"Summary_Tables","Volume of fishery production by PICT","29-7",41,"Offshore Locally Based","Tonnes","Palau","2021"
178,"Summary_Tables","Volume of fishery production by PICT","29-7",2122,"Offshore Locally Based","Tonnes","New","2007"
179,"Summary_Tables","Volume of fishery production by PICT","29-7",2876,"Offshore Locally Based","Tonnes","Caledonia","2014"
180,"Summary_Tables","Volume of fishery production by PICT","29-7",2625,"Offshore Locally Based","Tonnes","Caledonia","2021"
181,"Summary_Tables","Volume of fishery production by PICT","29-7",6632,"Offshore Locally Based","Tonnes","American Samoa","2007"
182,"Summary_Tables","Volume of fishery production by PICT","29-7",2154,"Offshore Locally Based","Tonnes","American Samoa","2014"
183,"Summary_Tables","Volume of fishery production by PICT","29-7",994,"Offshore Locally Based","Tonnes","American Samoa","2021"
184,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Wallis and Futuna","2007"
185,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Wallis and Futuna","2014"
186,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Wallis and Futuna","2021"
187,"Summary_Tables","Volume of fishery production by PICT","29-7",640,"Offshore Locally Based","Tonnes","Niue","2007"
188,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Niue","2014"
189,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Niue","2021"
190,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Northern Mariana Is.","2007"
191,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Northern Mariana Is.","2014"
192,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Northern Mariana Is.","2021"
193,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Guam","2007"
194,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Guam","2014"
195,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Guam","2021"
196,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Pitcairn","2007"
197,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Pitcairn","2014"
198,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Locally Based","Tonnes","Pitcairn","2021"
199,"Summary_Tables","Volume of fishery production by PICT","29-7",163215,"Offshore Foreign Based","Tonnes","Kiribati","2007"
200,"Summary_Tables","Volume of fishery production by PICT","29-7",701067,"Offshore Foreign Based","Tonnes","Kiribati","2014"
201,"Summary_Tables","Volume of fishery production by PICT","29-7",349345,"Offshore Foreign Based","Tonnes","Kiribati","2021"
202,"Summary_Tables","Volume of fishery production by PICT","29-7",327471,"Offshore Foreign Based","Tonnes","PNG","2007"
203,"Summary_Tables","Volume of fishery production by PICT","29-7",217871,"Offshore Foreign Based","Tonnes","PNG","2014"
204,"Summary_Tables","Volume of fishery production by PICT","29-7",161133,"Offshore Foreign Based","Tonnes","PNG","2021"
205,"Summary_Tables","Volume of fishery production by PICT","29-7",69236,"Offshore Foreign Based","Tonnes","Nauru","2007"
206,"Summary_Tables","Volume of fishery production by PICT","29-7",177315,"Offshore Foreign Based","Tonnes","Nauru","2014"
207,"Summary_Tables","Volume of fishery production by PICT","29-7",136893,"Offshore Foreign Based","Tonnes","Nauru","2021"
208,"Summary_Tables","Volume of fishery production by PICT","29-7",143315,"Offshore Foreign Based","Tonnes","FSM","2007"
209,"Summary_Tables","Volume of fishery production by PICT","29-7",124481,"Offshore Foreign Based","Tonnes","FSM","2014"
210,"Summary_Tables","Volume of fishery production by PICT","29-7",92899,"Offshore Foreign Based","Tonnes","FSM","2021"
211,"Summary_Tables","Volume of fishery production by PICT","29-7",98023,"Offshore Foreign Based","Tonnes","Solomon Islands","2007"
212,"Summary_Tables","Volume of fishery production by PICT","29-7",36573,"Offshore Foreign Based","Tonnes","Solomon Islands","2014"
213,"Summary_Tables","Volume of fishery production by PICT","29-7",62234,"Offshore Foreign Based","Tonnes","Solomon Islands","2021"
214,"Summary_Tables","Volume of fishery production by PICT","29-7",12727,"Offshore Foreign Based","Tonnes","Marshall Islands","2007"
215,"Summary_Tables","Volume of fishery production by PICT","29-7",29754,"Offshore Foreign Based","Tonnes","Marshall Islands","2014"
216,"Summary_Tables","Volume of fishery production by PICT","29-7",42514,"Offshore Foreign Based","Tonnes","Marshall Islands","2021"
217,"Summary_Tables","Volume of fishery production by PICT","29-7",35541,"Offshore Foreign Based","Tonnes","Tuvalu","2007"
218,"Summary_Tables","Volume of fishery production by PICT","29-7",96898,"Offshore Foreign Based","Tonnes","Tuvalu","2014"
219,"Summary_Tables","Volume of fishery production by PICT","29-7",71817,"Offshore Foreign Based","Tonnes","Tuvalu","2021"
220,"Summary_Tables","Volume of fishery production by PICT","29-7",492,"Offshore Foreign Based","Tonnes","Fiji","2007"
221,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Fiji","2014"
222,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Fiji","2021"
223,"Summary_Tables","Volume of fishery production by PICT","29-7",318,"Offshore Foreign Based","Tonnes","Tokelau","2007"
224,"Summary_Tables","Volume of fishery production by PICT","29-7",24286,"Offshore Foreign Based","Tonnes","Tokelau","2014"
225,"Summary_Tables","Volume of fishery production by PICT","29-7",5548,"Offshore Foreign Based","Tonnes","Tokelau","2021"
226,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Cook Islands","2007"
227,"Summary_Tables","Volume of fishery production by PICT","29-7",20342,"Offshore Foreign Based","Tonnes","Cook Islands","2014"
228,"Summary_Tables","Volume of fishery production by PICT","29-7",4621,"Offshore Foreign Based","Tonnes","Cook Islands","2021"
229,"Summary_Tables","Volume of fishery production by PICT","29-7",12858,"Offshore Foreign Based","Tonnes","Vanuatu","2007"
230,"Summary_Tables","Volume of fishery production by PICT","29-7",10942,"Offshore Foreign Based","Tonnes","Vanuatu","2014"
231,"Summary_Tables","Volume of fishery production by PICT","29-7",2320,"Offshore Foreign Based","Tonnes","Vanuatu","2021"
232,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","French Polynesia","2007"
233,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","French Polynesia","2014"
234,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","French Polynesia","2021"
235,"Summary_Tables","Volume of fishery production by PICT","29-7",25,"Offshore Foreign Based","Tonnes","Samoa","2007"
236,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Samoa","2014"
237,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Samoa","2021"
238,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Tonga","2007"
239,"Summary_Tables","Volume of fishery production by PICT","29-7",1891,"Offshore Foreign Based","Tonnes","Tonga","2014"
240,"Summary_Tables","Volume of fishery production by PICT","29-7",1759,"Offshore Foreign Based","Tonnes","Tonga","2021"
241,"Summary_Tables","Volume of fishery production by PICT","29-7",1464,"Offshore Foreign Based","Tonnes","Palau","2007"
242,"Summary_Tables","Volume of fishery production by PICT","29-7",4017,"Offshore Foreign Based","Tonnes","Palau","2014"
