"ID","Member_Country","Measure","Table","Value","Metric","Unit","PICT"
36,"Summary_Tables","Volume of production in 2021","29-1",300,"Coastal subsistence","Tonnes","Tokelau"
37,"Summary_Tables","Volume of production in 2021","29-1",221,"Coastal subsistence","Tonnes","Wallis & Futuna"
38,"Summary_Tables","Volume of production in 2021","29-1",123961,"Coastal subsistence","Tonnes","Total"
39,"Summary_Tables","Volume of production in 2021","29-1",100,"Coastal subsistence","Tonnes","American Samoa"
40,"Summary_Tables","Volume of production in 2021","29-1",2350,"Coastal subsistence","Tonnes","French Polynesia"
41,"Summary_Tables","Volume of production in 2021","29-1",1150,"Coastal subsistence","Tonnes","Tuvalu"
42,"Summary_Tables","Volume of production in 2021","29-1",3100,"Coastal subsistence","Tonnes","Vanuatu"
43,"Summary_Tables","Volume of production in 2021","29-1",204,"Coastal subsistence","Tonnes","Northern Mariana Islands"
44,"Summary_Tables","Volume of production in 2021","29-1",6,"Coastal subsistence","Tonnes","Pitcairn"
45,"Summary_Tables","Volume of production in 2021","29-1",30,"Coastal subsistence","Tonnes","Guam"
46,"Summary_Tables","Volume of production in 2021","29-1",4760,"Coastal subsistence","Tonnes","New Caledonia"
47,"Summary_Tables","Volume of production in 2021","29-1",994,"Offshore Locally Based","Tonnes","American Samoa"
48,"Summary_Tables","Volume of production in 2021","29-1",6405,"Offshore Locally Based","Tonnes","French Polynesia"
49,"Summary_Tables","Volume of production in 2021","29-1",290,"Offshore Locally Based","Tonnes","Tonga"
50,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Locally Based","Tonnes","Tuvalu"
51,"Summary_Tables","Volume of production in 2021","29-1",1000,"Offshore Locally Based","Tonnes","Vanuatu"
52,"Summary_Tables","Volume of production in 2021","29-1",100,"Offshore Locally Based","Tonnes","Cook Islands"
53,"Summary_Tables","Volume of production in 2021","29-1",153578,"Offshore Locally Based","Tonnes","FSM"
54,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Locally Based","Tonnes","Guam"
55,"Summary_Tables","Volume of production in 2021","29-1",2625,"Offshore Locally Based","Tonnes","New Caledonia"
56,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Locally Based","Tonnes","Northern Mariana Islands"
57,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Locally Based","Tonnes","Pitcairn"
58,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Locally Based","Tonnes","Tokelau"
59,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Locally Based","Tonnes","Wallis & Futuna"
60,"Summary_Tables","Volume of production in 2021","29-1",603888,"Offshore Locally Based","Tonnes","Total"
61,"Summary_Tables","Volume of production in 2021","29-1",1001,"Offshore Locally Based","Tonnes","Samoa"
62,"Summary_Tables","Volume of production in 2021","29-1",50597,"Offshore Locally Based","Tonnes","Solomon Islands"
63,"Summary_Tables","Volume of production in 2021","29-1",10828,"Offshore Locally Based","Tonnes","Fiji"
64,"Summary_Tables","Volume of production in 2021","29-1",2686,"Offshore Locally Based","Tonnes","Kiribati"
65,"Summary_Tables","Volume of production in 2021","29-1",91167,"Offshore Locally Based","Tonnes","Marshall Islands"
66,"Summary_Tables","Volume of production in 2021","29-1",111821,"Offshore Locally Based","Tonnes","Nauru"
67,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Locally Based","Tonnes","Niue"
68,"Summary_Tables","Volume of production in 2021","29-1",41,"Offshore Locally Based","Tonnes","Palau"
69,"Summary_Tables","Volume of production in 2021","29-1",170755,"Offshore Locally Based","Tonnes","PNG"
70,"Summary_Tables","Volume of production in 2021","29-1",136893,"Offshore Foreign Based","Tonnes","Nauru"
71,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","Fiji"
72,"Summary_Tables","Volume of production in 2021","29-1",349345,"Offshore Foreign Based","Tonnes","Kiribati"
73,"Summary_Tables","Volume of production in 2021","29-1",42514,"Offshore Foreign Based","Tonnes","Marshall Islands"
74,"Summary_Tables","Volume of production in 2021","29-1",4621,"Offshore Foreign Based","Tonnes","Cook Islands"
75,"Summary_Tables","Volume of production in 2021","29-1",92899,"Offshore Foreign Based","Tonnes","FSM"
76,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","American Samoa"
77,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","French Polynesia"
78,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","Guam"
79,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","New Caledonia"
80,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","Northern Mariana Islands"
81,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","Niue"
82,"Summary_Tables","Volume of production in 2021","29-1",1315,"Offshore Foreign Based","Tonnes","Palau"
83,"Summary_Tables","Volume of production in 2021","29-1",161133,"Offshore Foreign Based","Tonnes","PNG"
84,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","Samoa"
85,"Summary_Tables","Volume of production in 2021","29-1",62234,"Offshore Foreign Based","Tonnes","Solomon Islands"
86,"Summary_Tables","Volume of production in 2021","29-1",1759,"Offshore Foreign Based","Tonnes","Tonga"
87,"Summary_Tables","Volume of production in 2021","29-1",71817,"Offshore Foreign Based","Tonnes","Tuvalu"
88,"Summary_Tables","Volume of production in 2021","29-1",2320,"Offshore Foreign Based","Tonnes","Vanuatu"
89,"Summary_Tables","Volume of production in 2021","29-1",932398,"Offshore Foreign Based","Tonnes","Total"
90,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","Pitcairn"
91,"Summary_Tables","Volume of production in 2021","29-1",5548,"Offshore Foreign Based","Tonnes","Tokelau"
92,"Summary_Tables","Volume of production in 2021","29-1",0,"Offshore Foreign Based","Tonnes","Wallis & Futuna"
93,"Summary_Tables","Volume of production in 2021","29-1",0,"Freshwater","Tonnes","Nauru"
94,"Summary_Tables","Volume of production in 2021","29-1",0,"Freshwater","Tonnes","Niue"
95,"Summary_Tables","Volume of production in 2021","29-1",1,"Freshwater","Tonnes","Palau"
96,"Summary_Tables","Volume of production in 2021","29-1",23000,"Freshwater","Tonnes","PNG"
97,"Summary_Tables","Volume of production in 2021","29-1",10,"Freshwater","Tonnes","Samoa"
98,"Summary_Tables","Volume of production in 2021","29-1",1,"Freshwater","Tonnes","American Samoa"
99,"Summary_Tables","Volume of production in 2021","29-1",100,"Freshwater","Tonnes","French Polynesia"
100,"Summary_Tables","Volume of production in 2021","29-1",3,"Freshwater","Tonnes","Guam"
101,"Summary_Tables","Volume of production in 2021","29-1",10,"Freshwater","Tonnes","New Caledonia"
102,"Summary_Tables","Volume of production in 2021","29-1",0,"Freshwater","Tonnes","Northern Mariana Islands"
103,"Summary_Tables","Volume of production in 2021","29-1",0,"Freshwater","Tonnes","Pitcairn"
104,"Summary_Tables","Volume of production in 2021","29-1",0,"Freshwater","Tonnes","Tokelau"
105,"Summary_Tables","Volume of production in 2021","29-1",1,"Freshwater","Tonnes","Wallis & Futuna"
106,"Summary_Tables","Volume of production in 2021","29-1",29723,"Freshwater","Tonnes","Total"
107,"Summary_Tables","Volume of production in 2021","29-1",2500,"Freshwater","Tonnes","Solomon Islands"
108,"Summary_Tables","Volume of production in 2021","29-1",1,"Freshwater","Tonnes","Tonga"
109,"Summary_Tables","Volume of production in 2021","29-1",2,"Freshwater","Tonnes","Tuvalu"
110,"Summary_Tables","Volume of production in 2021","29-1",88,"Freshwater","Tonnes","Vanuatu"
111,"Summary_Tables","Volume of production in 2021","29-1",5,"Freshwater","Tonnes","Cook Islands"
112,"Summary_Tables","Volume of production in 2021","29-1",1,"Freshwater","Tonnes","FSM"
113,"Summary_Tables","Volume of production in 2021","29-1",4000,"Freshwater","Tonnes","Fiji"
114,"Summary_Tables","Volume of production in 2021","29-1",0,"Freshwater","Tonnes","Kiribati"
115,"Summary_Tables","Volume of production in 2021","29-1",0,"Freshwater","Tonnes","Marshall Islands"
116,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","Cook Islands"
117,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","FSM"
118,"Summary_Tables","Volume of production in 2021","29-1",351,"Aquaculture - Tonnes","Tonnes","Fiji"
119,"Summary_Tables","Volume of production in 2021","29-1",2,"Aquaculture - Tonnes","Tonnes","Kiribati"
120,"Summary_Tables","Volume of production in 2021","29-1",2.3,"Aquaculture - Tonnes","Tonnes","Marshall Islands"
121,"Summary_Tables","Volume of production in 2021","29-1",0.1,"Aquaculture - Tonnes","Tonnes","Nauru"
122,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","Niue"
123,"Summary_Tables","Volume of production in 2021","29-1",11,"Aquaculture - Tonnes","Tonnes","Palau"
124,"Summary_Tables","Volume of production in 2021","29-1",850,"Aquaculture - Tonnes","Tonnes","PNG"
125,"Summary_Tables","Volume of production in 2021","29-1",6.5,"Aquaculture - Tonnes","Tonnes","Samoa"
126,"Summary_Tables","Volume of production in 2021","29-1",3150,"Aquaculture - Tonnes","Tonnes","Solomon Islands"
127,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","Tonga"
128,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","Tuvalu"
129,"Summary_Tables","Volume of production in 2021","29-1",8,"Aquaculture - Tonnes","Tonnes","Vanuatu"
130,"Summary_Tables","Volume of production in 2021","29-1",10,"Aquaculture - Tonnes","Tonnes","American Samoa"
131,"Summary_Tables","Volume of production in 2021","29-1",1542,"Aquaculture - Tonnes","Tonnes","French Polynesia"
132,"Summary_Tables","Volume of production in 2021","29-1",100,"Aquaculture - Tonnes","Tonnes","Guam"
133,"Summary_Tables","Volume of production in 2021","29-1",1538,"Aquaculture - Tonnes","Tonnes","New Caledonia"
134,"Summary_Tables","Volume of production in 2021","29-1",2.3,"Aquaculture - Tonnes","Tonnes","Northern Mariana Islands"
135,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","Pitcairn"
136,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","Tokelau"
137,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Tonnes","Tonnes","Wallis & Futuna"
138,"Summary_Tables","Volume of production in 2021","29-1",7573,"Aquaculture - Tonnes","Tonnes","Total"
139,"Summary_Tables","Volume of production in 2021","29-1",81500,"Aquaculture - Pieces","Pieces","Cook Islands"
140,"Summary_Tables","Volume of production in 2021","29-1",65000,"Aquaculture - Pieces","Pieces","FSM"
141,"Summary_Tables","Volume of production in 2021","29-1",20000,"Aquaculture - Pieces","Pieces","Fiji"
142,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Kiribati"
143,"Summary_Tables","Volume of production in 2021","29-1",22000,"Aquaculture - Pieces","Pieces","Marshall Islands"
144,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Nauru"
145,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Niue"
146,"Summary_Tables","Volume of production in 2021","29-1",4419,"Aquaculture - Pieces","Pieces","Palau"
147,"Summary_Tables","Volume of production in 2021","29-1",10000,"Aquaculture - Pieces","Pieces","PNG"
148,"Summary_Tables","Volume of production in 2021","29-1",10000,"Aquaculture - Pieces","Pieces","Samoa"
149,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Solomon Islands"
150,"Summary_Tables","Volume of production in 2021","29-1",35000,"Aquaculture - Pieces","Pieces","Tonga"
151,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Tuvalu"
152,"Summary_Tables","Volume of production in 2021","29-1",4000,"Aquaculture - Pieces","Pieces","Vanuatu"
153,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","American Samoa"
154,"Summary_Tables","Volume of production in 2021","29-1",8574012,"Aquaculture - Pieces","Pieces","French Polynesia"
155,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Guam"
156,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","New Caledonia"
157,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Northern Mariana Islands"
158,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Pitcairn"
159,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Tokelau"
160,"Summary_Tables","Volume of production in 2021","29-1",0,"Aquaculture - Pieces","Pieces","Wallis & Futuna"
161,"Summary_Tables","Volume of production in 2021","29-1",8825931,"Aquaculture - Pieces","Pieces","Total"
